ID	Label
D2-1	AI
D2-2	AI
D2-3	Human
D2-4	Human
D2-5	AI
D2-6	Human
D2-7	AI
D2-8	AI
D2-9	Human
D2-10	AI
D2-11	Human
D2-12	AI
D2-13	Human
D2-14	AI
D2-15	Human
D2-16	Human
D2-17	AI
D2-18	AI
D2-19	AI
D2-20	Human
D2-21	Human
D2-22	Human
D2-23	Human
D2-24	Human
D2-25	AI
D2-26	AI
D2-27	AI
D2-28	AI
D2-29	Human
D2-30	AI
D2-31	Human
D2-32	AI
D2-33	AI
D2-34	Human
D2-35	Human
D2-36	AI
D2-37	AI
D2-38	AI
D2-39	AI
D2-40	AI
D2-41	AI
D2-42	Human
D2-43	Human
D2-44	Human
D2-45	Human
D2-46	AI
D2-47	Human
D2-48	Human
D2-49	Human
D2-50	AI
D2-51	AI
D2-52	AI
D2-53	Human
D2-54	Human
D2-55	Human
D2-56	AI
D2-57	Human
D2-58	AI
D2-59	Human
D2-60	AI
D2-61	AI
D2-62	Human
D2-63	Human
D2-64	Human
D2-65	AI
D2-66	AI
D2-67	Human
D2-68	AI
D2-69	Human
D2-70	AI
D2-71	AI
D2-72	AI
D2-73	AI
D2-74	AI
D2-75	AI
D2-76	Human
D2-77	AI
D2-78	AI
D2-79	Human
D2-80	AI
D2-81	Human
D2-82	AI
D2-83	AI
D2-84	AI
D2-85	AI
D2-86	Human
D2-87	Human
D2-88	AI
D2-89	AI
D2-90	Human
D2-91	Human
D2-92	Human
D2-93	AI
D2-94	AI
D2-95	AI
D2-96	AI
D2-97	Human
D2-98	Human
D2-99	AI
D2-100	Human
